"Loan Number","Blank 1","Blank 2","Blank 3","Blank 4","Blank 5","Blank 6","Blank 7","Purchased","Investor Code","Investor Loan No"
"3211100078","","","","","","","","02/21/2012","US BANK","6850373036"
"3241100000","","","","","","","","02/24/2012","JP MORGAN","1157474112"
"3241100004","","","","","","","","02/27/2012","PENNYMAC","8000012185"
"3241100010","","","","","","","","02/17/2012","US BANK","6850363675"
"3261100090","","","","","","","","02/01/2012","US BANK","6850351740"
"3261100129","","","","","","","","02/02/2012","FLAGSTAR","503403576"
"3261100131","","","","","","","","02/23/2012","PENNYMAC","8000010840"
"3261100145","","","","","","","","02/15/2012","US BANK","6850366996"
"3261100148","","","","","","","","02/03/2012","PENNYMAC","8000010539"
"3261100150","","","","","","","","02/27/2012","PENNYMAC","8000012958"
"3261200004","","","","","","","","02/27/2012","FRANKLIN AMERICAN","1701457054"
"3381100269","","","","","","","","02/10/2012","PENNYMAC","8000010616"
"3381100270","","","","","","","","02/03/2012","CHFA-2ND","CH-137138"
"3381100278","","","","","","","","02/09/2012","FLAGSTAR","503405878"
"3381100287","","","","","","","","02/24/2012","PENNYMAC","8000011787"
"3381100299","","","","","","","","02/10/2012","CHFA-2ND","CH-137378"
"3381100302","","","","","","","","02/17/2012","FRANKLIN AMERICAN","1701452568"
"3381100312","","","","","","","","02/22/2012","JP MORGAN","1157594420"
"3381100318","","","","","","","","02/23/2012","JP MORGAN","1157624893"
"3381100321","","","","","","","","02/15/2012","US BANK","6850366563"
"3381100324","","","","","","","","02/23/2012","US BANK","6850374144"
"3381100326","","","","","","","","02/08/2012","US BANK","6850363189"
"3381100328","","","","","","","","02/16/2012","JP MORGAN","1157503039"
"3381100339","","","","","","","","02/27/2012","FRANKLIN AMERICAN","1701454632"
"3381200005","","","","","","","","02/15/2012","GMAC BANK","603298937"
"3441100042","","","","","","","","02/23/2012","US BANK","6850360700"
"3441100043","","","","","","","","02/07/2012","US BANK","6850360239"
"3461100069","","","","","","","","02/21/2012","GMAC BANK","REFI"
"3461100075","","","","","","","","02/17/2012","FRANKLIN AMERICAN","1701455047"
"3471100072","","","","","","","","02/10/2012","US BANK","6850368805"
"3471200000","","","","","","","","02/14/2012","US BANK","6850374129"
"3481100109","","","","","","","","02/06/2012","US BANK","6850356510"
"3481100110","","","","","","","","02/13/2012","US BANK","6850372568"
"3491100161","","","","","","","","02/03/2012","FRANKLIN AMERICAN","1701445934"
"3491100188","","","","","","","","02/07/2012","PENNYMAC","8000010570"
"3491100192","","","","","","","","02/03/2012","PENNYMAC","8000010506"
"3491100195","","","","","","","","02/10/2012","PENNYMAC","800009958"
"3491100196","","","","","","","","02/16/2012","FRANKLIN AMERICAN","1701451049"
"3491100199","","","","","","","","02/17/2012","FRANKLIN AMERICAN","1701442555"
"3491100200","","","","","","","","02/15/2012","US BANK","6850371447"
"3491200000","","","","","","","","02/27/2012","PENNYMAC","8000012790"
"3491200002","","","","","","","","02/21/2012","GMAC BANK","603310823"
"3521100068","","","","","","","","02/10/2012","FRANKLIN AMERICAN","1701435653"
"3621100190","","","","","","","","02/17/2012","CHFA-2ND","CH137305"
"3621100215","","","","","","","","02/06/2012","FRANKLIN AMERICAN","1701439829"
"3621100216","","","","","","","","02/17/2012","CHFA-2ND","CH-137116"
"3621100258","","","","","","","","02/08/2012","AFFILIATED MTG CO","3000082146"
"3621100263","","","","","","","","02/01/2012","FLAGSTAR","503402110"
"3621100273","","","","","","","","02/13/2012","AFFILIATED MTG CO","3000081679"
"3621100281","","","","","","","","02/01/2012","FRANKLIN AMERICAN","1701437034"
"3621100283","","","","","","","","02/01/2012","US BANK","6850361995"
"3621100288","","","","","","","","02/07/2012","FRANKLIN AMERICAN","1701437401"
"3621100292","","","","","","","","02/15/2012","US BANK","6850364461"
"3621100294","","","","","","","","02/24/2012","GMAC BANK","603307761"
"3621100298","","","","","","","","02/24/2012","PENNYMAC","8000011016"
"3621100304","","","","","","","","02/10/2012","US BANK","6850368810"
"3621100307","","","","","","","","02/17/2012","FIRST MTG CORP","400306"
"3621100308","","","","","","","","02/17/2012","FIRST MTG CORP","400307"
"3621100311","","","","","","","","02/14/2012","AFFILIATED MTG CO","3000082953"
"3621100313","","","","","","","","02/14/2012","GMAC BANK","603304510"
"3621200012","","","","","","","","02/17/2012","US BANK","6850374151"
"3631100076","","","","","","","","02/27/2012","PENNYMAC","8000011473"
"3631100086","","","","","","","","02/16/2012","PENNYMAC","8000011015"
"3631100087","","","","","","","","02/15/2012","PENNYMAC","8000011662"
"3631100090","","","","","","","","02/08/2012","FRANKLIN AMERICAN","1701448752"
"3631200000","","","","","","","","02/23/2012","US BANK","6850376475"
"3671100111","","","","","","","","02/13/2012","PENNYMAC","8000010825"
"3671100154","","","","","","","","02/15/2012","US BANK","6850372572"
"3711100085","","","","","","","","02/01/2012","GMAC BANK","603289935"
"3711100087","","","","","","","","02/24/2012","US BANK","6850361898"
"3711100100","","","","","","","","02/21/2012","FLAGSTAR","503408733"
"3711100101","","","","","","","","02/17/2012","GMAC BANK","603293418"
"3711100106","","","","","","","","02/03/2012","FRANKLIN AMERICAN","1701445659"
"3711100114","","","","","","","","02/03/2012","PENNYMAC","8000010455"
"3711100116","","","","","","","","02/10/2012","PENNYMAC","8000011848"
"3711200002","","","","","","","","02/24/2012","FLAGSTAR","503451191"
"3791100293","","","","","","","","02/17/2012","FRANKLIN AMERICAN","1701452570"
"3791100359","","","","","","","","02/27/2012","FRANKLIN AMERICAN","17014151045"
"3791100384","","","","","","","","02/10/2012","CHFA-2ND","CH-137333"
"3791100389","","","","","","","","02/02/2012","PENNYMAC","8000010176"
"3791100392","","","","","","","","02/24/2012","JP MORGAN","1157551916"
"3791100401","","","","","","","","02/06/2012","PENNYMAC","8000010508"
"3791100418","","","","","","","","02/21/2012","PENNYMAC","8000010458"
"3791100422","","","","","","","","02/13/2012","JP MORGAN","1157560509"
